Size  - Number of Components:
 2 	  563587
 3 	  154376
 4 	  69828
 5 	  40412
 6 	  26482
 7 	  18773
 8 	  13932
 9 	  10893
 10 	  8853
 11 	  7237
 12 	  6184
 13 	  5261
 14 	  4439
 15 	  4070
 16 	  3529
 17 	  3070
 18 	  2861
 19 	  2473
 20 	  2351
 21 	  2016
 22 	  1884
 23 	  1735
 24 	  1533
 25 	  1494
 26 	  1405
 27 	  1189
 28 	  1149
 29 	  1136
 30 	  1019
 31 	  960
 32 	  884
 33 	  891
 34 	  830
 35 	  736
 36 	  696
 37 	  666
 38 	  620
 39 	  600
 40 	  578
 41 	  530
 42 	  530
 43 	  489
 44 	  481
 45 	  476
 46 	  411
 47 	  389
 48 	  357
 49 	  376
 50 	  366
 51 	  322
 52 	  368
 53 	  347
 54 	  298
 55 	  271
 56 	  255
 57 	  276
 58 	  261
 59 	  229
 60 	  261
 61 	  233
 62 	  231
 63 	  234
 64 	  222
 65 	  204
 66 	  205
 67 	  183
 68 	  184
 69 	  209
 70 	  189
 71 	  183
 72 	  160
 73 	  168
 74 	  178
 75 	  156
 76 	  177
 77 	  163
 78 	  122
 79 	  150
 80 	  132
 81 	  128
 82 	  148
 83 	  118
 84 	  113
 85 	  115
 86 	  103
 87 	  112
 88 	  97
 89 	  93
 90 	  106
 91 	  112
 92 	  93
 93 	  102
 94 	  105
 95 	  100
 96 	  92
 97 	  96
 98 	  88
 99 	  103
 100 	  88
 101 	  92
 102 	  83
 103 	  89
 104 	  73
 105 	  75
 106 	  68
 107 	  70
 108 	  57
 109 	  75
 110 	  68
 111 	  81
 112 	  71
 113 	  62
 114 	  70
 115 	  69
 116 	  71
 117 	  60
 118 	  74
 119 	  61
 120 	  51
 121 	  48
 122 	  51
 123 	  58
 124 	  63
 125 	  50
 126 	  47
 127 	  60
 128 	  43
 129 	  58
 130 	  49
 131 	  59
 132 	  45
 133 	  48
 134 	  52
 135 	  51
 136 	  52
 137 	  38
 138 	  45
 139 	  34
 140 	  41
 141 	  49
 142 	  34
 143 	  42
 144 	  54
 145 	  48
 146 	  45
 147 	  44
 148 	  41
 149 	  34
 150 	  52
 151 	  39
 152 	  38
 153 	  34
 154 	  36
 155 	  37
 156 	  31
 157 	  33
 158 	  31
 159 	  40
 160 	  32
 161 	  33
 162 	  28
 163 	  34
 164 	  30
 165 	  29
 166 	  34
 167 	  24
 168 	  36
 169 	  26
 170 	  28
 171 	  34
 172 	  29
 173 	  35
 174 	  28
 175 	  25
 176 	  29
 177 	  28
 178 	  24
 179 	  21
 180 	  25
 181 	  23
 182 	  22
 183 	  19
 184 	  13
 185 	  22
 186 	  23
 187 	  26
 188 	  19
 189 	  21
 190 	  18
 191 	  18
 192 	  24
 193 	  24
 194 	  21
 195 	  21
 196 	  18
 197 	  14
 198 	  26
 199 	  21
 200 	  33
 201 	  21
 202 	  26
 203 	  22
 204 	  19
 205 	  15
 206 	  21
 207 	  19
 208 	  20
 209 	  27
 210 	  13
 211 	  21
 212 	  19
 213 	  24
 214 	  15
 215 	  16
 216 	  16
 217 	  17
 218 	  18
 219 	  19
 220 	  16
 221 	  17
 222 	  16
 223 	  15
 224 	  22
 225 	  15
 226 	  23
 227 	  23
 228 	  14
 229 	  17
 230 	  17
 231 	  16
 232 	  14
 233 	  13
 234 	  16
 235 	  17
 236 	  16
 237 	  18
 238 	  16
 239 	  21
 240 	  12
 241 	  12
 242 	  14
 243 	  16
 244 	  13
 245 	  16
 246 	  10
 247 	  10
 248 	  7
 249 	  13
 250 	  15
 251 	  14
 252 	  12
 253 	  14
 254 	  24
 255 	  9
 256 	  11
 257 	  19
 258 	  11
 259 	  12
 260 	  15
 261 	  10
 262 	  10
 263 	  13
 264 	  8
 265 	  15
 266 	  7
 267 	  15
 268 	  7
 269 	  7
 270 	  8
 271 	  13
 272 	  14
 273 	  13
 274 	  15
 275 	  9
 276 	  5
 277 	  11
 278 	  7
 279 	  9
 280 	  10
 281 	  12
 282 	  4
 283 	  11
 284 	  10
 285 	  9
 286 	  11
 287 	  11
 288 	  10
 289 	  18
 290 	  14
 291 	  7
 292 	  5
 293 	  12
 294 	  8
 295 	  19
 296 	  8
 297 	  6
 298 	  6
 299 	  11
 300 	  8
 301 	  5
 302 	  9
 303 	  13
 304 	  11
 305 	  12
 306 	  4
 307 	  3
 308 	  9
 309 	  7
 310 	  8
 311 	  8
 312 	  7
 313 	  11
 314 	  7
 315 	  9
 316 	  5
 317 	  13
 318 	  8
 319 	  5
 320 	  12
 321 	  9
 322 	  10
 323 	  6
 324 	  6
 325 	  6
 326 	  8
 327 	  6
 328 	  7
 329 	  8
 330 	  8
 331 	  6
 332 	  10
 333 	  4
 334 	  10
 335 	  10
 336 	  9
